seriesName,mid,matchTitle,matchFormat,matchStatus,teamOne,teamTwo,matchDate,matchVenue,name_bat,dismissal,runs_bat,balls,fours,sixes,strikeRate,batlineup,inn,cname_bat,lname,name_bowl,overs,maidens,runs_bowl,wickets,noBalls,wides,eco,bwlineup,cname_bowl,lineup,id,name,team
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Maheesh Theekshana,Did not bat,0,0,0,0,0.0,12,inn2,Maheesh Theekshana,Theekshana,M Theekshana,4.0,0.0,52.0,2.0,2.0,3.0,13.0,10.0,M Theekshana,10.0,18504.0,Maheesh Theekshana,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Fazalhaq Farooqi,Did not bat,0,0,0,0,0.0,12,inn2,Fazalhaq Farooqi,Farooqi,Fazalhaq Farooqi,3.0,0.0,49.0,0.0,0.0,0.0,16.3,11.0,Fazalhaq Farooqi,11.0,14282.0,Fazalhaq Farooqi,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114976,Mumbai Indians vs Chennal Super Kiings, 3rd Match,Chennai Super Kings won by 4 wkts,MI,CSK,24-Mar,,Rohit,c Shivam Dube b Khaleel Ahmed,0,4,0,0,0.0,1,inn1,Rohit,rsharma,,,,,,,,,,,1.0,576.0,Rohit Sharma,Mumbai Indians 
INDIAN PREMIER LEAGUE 2025,114976,Mumbai Indians vs Chennal Super Kiings, 3rd Match,Chennai Super Kings won by 4 wkts,MI,CSK,24-Mar,,Rickelton (wk),b Khaleel Ahmed,13,7,3,0,185.71,2,inn1,Rickelton,Rickelton,,,,,,,,,,,2.0,13070.0,Ryan Rickelton (wk),Mumbai Indians 
INDIAN PREMIER LEAGUE 2025,114976,Mumbai Indians vs Chennal Super Kiings, 3rd Match,Chennai Super Kings won by 4 wkts,MI,CSK,24-Mar,,Rickelton (wk),b Khaleel Ahmed,13,7,3,0,185.71,2,inn1,Rickelton,Rickelton,,,,,,,,,,,2.0,,Ryan Rickelton (wk),Mumbai Indians 
INDIAN PREMIER LEAGUE 2025,114976,Mumbai Indians vs Chennal Super Kiings, 3rd Match,Chennai Super Kings won by 4 wkts,MI,CSK,24-Mar,,Will Jacks,c Shivam Dube b Ashwin,11,7,2,0,157.14,3,inn1,Will Jacks,Jacks,Will Jacks,4.0,0.0,32.0,1.0,0.0,3.0,8.0,7.0,Will Jacks,3.0,12258.0,Will Jacks,Mumbai Indians 
INDIAN PREMIER LEAGUE 2025,114976,Mumbai Indians vs Chennal Super Kiings, 3rd Match,Chennai Super Kings won by 4 wkts,MI,CSK,24-Mar,,Will Jacks,c Shivam Dube b Ashwin,11,7,2,0,157.14,3,inn1,Will Jacks,Jacks,Will Jacks,4.0,0.0,32.0,1.0,0.0,3.0,8.0,7.0,Will Jacks,3.0,,Will Jacks,Mumbai Indians 
INDIAN PREMIER LEAGUE 2025,114976,Mumbai Indians vs Chennal Super Kiings, 3rd Match,Chennai Super Kings won by 4 wkts,MI,CSK,24-Mar,,Suryakumar Yadav (c),st Dhoni b Noor Ahmad,29,26,2,1,111.54,4,inn1,Suryakumar Yadav,sky,,,,,,,,,,,4.0,7915.0,Suryakumar Yadav,Mumbai Indians 
INDIAN PREMIER LEAGUE 2025,114976,Mumbai Indians vs Chennal Super Kiings, 3rd Match,Chennai Super Kings won by 4 wkts,MI,CSK,24-Mar,,Suryakumar Yadav (c),st Dhoni b Noor Ahmad,29,26,2,1,111.54,4,inn1,Suryakumar Yadav,sky,,,,,,,,,,,4.0,7915.0,Suryakumar Yadav (c),Mumbai Indians 
INDIAN PREMIER LEAGUE 2025,114976,Mumbai Indians vs Chennal Super Kiings, 3rd Match,Chennai Super Kings won by 4 wkts,MI,CSK,24-Mar,,Suryakumar Yadav (c),st Dhoni b Noor Ahmad,29,26,2,1,111.54,4,inn1,Suryakumar Yadav,sky,,,,,,,,,,,4.0,,Suryakumar Yadav,Mumbai Indians 
